Pinjaman,6,9,12,15,18,21,24
5.000.000,1.155.000,810.000,615.000,525.000,465.000,425.000,390.000
6.000.000,1.335.000,945.000,725.000,620.000,545.000,495.000,455.000
7.000.000,1.535.000,1.100.000,840.000,715.000,630.000,570.000,525.000
8.000.000,1.750.000,1.255.000,955.000,810.000,710.000,645.000,595.000
9.000.000,1.925.000,1.395.000,1.060.000,895.000,785.000,710.000,650.000
10.000.000,2.140.000,1.525.000,1.160.000,975.000,855.000,770.000,700.000
11.000.000,2.375.000,1.670.000,1.270.000,1.065.000,935.000,845.000,770.000
12.000.000,2.600.000,1.815.000,1.380.000,1.155.000,1.015.000,915.000,835.000
13.000.000,2.820.000,1.975.000,1.490.000,1.255.000,1.100.000,990.000,905.000
14.000.000,3.020.000,2.125.000,1.600.000,1.350.000,1.185.000,1.065.000,975.000
15.000.000,3.200.000,2.265.000,1.710.000,1.435.000,1.270.000,1.145.000,1.045.000
16.000.000,3.410.000,2.415.000,1.810.000,1.525.000,1.350.000,1.220.000,1.120.000
17.000.000,3.615.000,2.570.000,1.920.000,1.615.000,1.425.000,1.295.000,1.190.000
18.000.000,3.815.000,2.705.000,2.020.000,1.700.000,1.510.000,1.365.000,1.255.000
19.000.000,4.025.000,2.860.000,2.135.000,1.800.000,1.600.000,1.445.000,1.325.000
20.000.000,4.255.000,3.015.000,2.250.000,1.895.000,1.680.000,1.515.000,1.390.000
21.000.000,4.445.000,3.165.000,2.330.000,1.985.000,1.750.000,1.575.000,1.445.000
22.000.000,4.655.000,3.325.000,2.440.000,2.085.000,1.830.000,1.645.000,1.480.000
23.000.000,4.875.000,3.485.000,2.550.000,2.185.000,1.925.000,1.715.000,1.520.000
24.000.000,5.095.000,3.645.000,2.665.000,2.285.000,2.005.000,1.785.000,1.575.000
25.000.000,5.315.000,3.805.000,2.775.000,2.385.000,2.095.000,1.855.000,1.630.000
